month;type;dealId;dealTitle;organization;value;labels;isMultiBusinessType
2025-10;LDC - Laudo de disponibilidade de carga;1074;Negócio Edf Piedade Prince;Edf Piedade Prince;14000;"LIE - Laudo de Instalações Elétricas, LDC - Laudo de disponibilidade de carga, ICV - Inspeção de carregador veicular";true
2025-10;LDC - Laudo de disponibilidade de carga;1076;Negócio Edf Nicolau II;Edf Nicolau II;7700;LDC - Laudo de disponibilidade de carga;false
2025-11;LIE - Laudo de Instalações Elétricas;1077;Negócio Edf Maria Clarice;Edf Maria Clarice;5000;LIE - Laudo de Instalações Elétricas;false
2025-08;LDC - Laudo de disponibilidade de carga;1081;Edf Praia dos Jardins;Edf Praia dos Jardins;6000;LDC - Laudo de disponibilidade de carga;false
2025-08;LDC - Laudo de disponibilidade de carga;1083;Negócio Edf Sainte Daniela;Edf Sainte Daniela;7200;LDC - Laudo de disponibilidade de carga;false
2025-09;LDC - Laudo de disponibilidade de carga;1084;Negócio Edf Quinta do Algarve;Edf Quinta do Algarve;4800;LDC - Laudo de disponibilidade de carga;false
2025-08;LDC - Laudo de disponibilidade de carga;1085;Edf Luis Dias lins;Edf Luis dias lins;9500;LDC - Laudo de disponibilidade de carga;false
2025-08;LDC - Laudo de disponibilidade de carga;1089;Negócio Edf Píer Mauricio de Nassau;Edf Píer Mauricio de Nassau;5000;LDC - Laudo de disponibilidade de carga;false
2025-08;LDC - Laudo de disponibilidade de carga;1092;Edf FICUS negócio;Edf FICUS;10500;"LIE - Laudo de Instalações Elétricas, LDC - Laudo de disponibilidade de carga";true
2025-07;LDC - Laudo de disponibilidade de carga;1093;Negócio Edf Cristiano;Edf Cristiano;4000;LDC - Laudo de disponibilidade de carga;false
2025-07;LDC - Laudo de disponibilidade de carga;1101;Negócio Edf MIllennium;Edf MIllennium;7000;LDC - Laudo de disponibilidade de carga;false
2025-11;LDC - Laudo de disponibilidade de carga;1102;Negócio Edf Sobrado do Capibaribe;Edf Sobrado do Capibaribe;11000;"LIE - Laudo de Instalações Elétricas, LDC - Laudo de disponibilidade de carga";true
2025-07;OBRA;1111;Negócio Edf Praia de Japaratinga;Edf Praia de Japaratinga;10540;OBRA;false
2025-07;LIE - Laudo de Instalações Elétricas;1112;Negócio Edf Villa das Pedras;Edf Villa das Pedras;2400;LIE - Laudo de Instalações Elétricas;false
2026-04;LIE - Laudo de Instalações Elétricas;1119;Negócio Edf Maria Ines;Condominio do Edificio Maria Ines;7000;LIE - Laudo de Instalações Elétricas;false
2025-08;PROJETOS;1124;Negócio Edf Maison Monet;Edf Maison Monet;5300;PROJETOS;false
2025-10;LDC - Laudo de disponibilidade de carga;1129;Negócio Paraíso Eco Resort Campina Grande;Paraíso Eco Resort Campina Grande;31350;LDC - Laudo de disponibilidade de carga;false
2025-09;OBRA;1130;Negócio Edf Casa Rosada;Edf Manoella Vilaça;16493.98;OBRA;false
2025-09;LDC - Laudo de disponibilidade de carga;1134;Edf Luar da Praia;Edf Luar da Praia;12420;LDC - Laudo de disponibilidade de carga;false
2025-09;LIE - Laudo de Instalações Elétricas;1136;Negócio Edf PARADOR DE GALICIA;Edf PARADOR DE GALICIA;5500;LIE - Laudo de Instalações Elétricas;false
2025-08;ICV - Inspeção de carregador veicular;1139;Negócio condomínio Residencial Estrela Sirius e Antares;condomínio Residencial Estrela;1300;ICV - Inspeção de carregador veicular;false
2025-08;ICV - Inspeção de carregador veicular;1140;Negócio Edf Praça do Mar;Edf Praça do Mar;1600;ICV - Inspeção de carregador veicular;false
2025-09;PROJETOS;1141;Negócio Edf MIllennium;Edf MIllennium;5000;PROJETOS;false
2025-09;LIE - Laudo de Instalações Elétricas;1142;Edf Castelo de Blois negócio;Edf Castelo de Blois;6000;LIE - Laudo de Instalações Elétricas;false
2026-02;LDC - Laudo de disponibilidade de carga;1152;Negócio Edificio Le Parc;Edificio Le Parc;102000;LDC - Laudo de disponibilidade de carga;false
